Verse,Meter,char_count,new_char_count,word_count,Stressed_Verse
and in my verse entuneth so fetisely,iambic,6,36,7,wswswswswsw
at helluo's board where smokes th' eternal treat,iambic,6,48,8,wswswswswsws
no thunders shook with deep intestine sound,iambic,6,43,7,wswswswsws
no wrangler destitute of shame and sense,iambic,6,40,7,wswswswsws
her tenderest tear is but her noblest praise,iambic,6,44,8,wswswswwsws
no system this of deep devotion,iambic,6,31,6,wswswswsw
by force if not by parts,iambic,6,24,6,wswsws
an artist at creating selfalarms,iambic,6,32,5,wswswswsws
is mystic still reveal your doubting thought,iambic,6,44,7,wswswswsws
which by his sorceries he soon brought to pass,iambic,6,46,9,wswswswswsw
and in luxurious sorrow prompt the tear,iambic,6,39,7,wswswswsws
with sounding whip and rowels dyed in blood,iambic,6,43,8,wswswswsws
as dares to deem one universe too small,iambic,6,39,8,wswswswsws
within the magic circle of the eye,iambic,6,34,7,wswswswsws
long life might lapse age unperceived come on,iambic,6,45,8,wswswswsws
a tempest that shall shake her own creation,iambic,6,43,8,wswswswswsw
and shed their flow'rs along the rugged way,iambic,6,43,8,wswswswsws
but what a few dim lamps expiring had,iambic,6,37,8,wswswswsws
be where you list your charter is so strong,iambic,6,43,9,wswswswsws
which damsel fond had drawn from houshold toils,iambic,6,47,8,wswswswsws
but come my friend inform me in return,iambic,6,38,8,wswswswsws
do i not think on thee when i forgot,iambic,6,36,9,wswswswsws
sylvius they want for him they search they call,iambic,6,47,9,swswswwswsw
'twas when he sought thy mother at carel fair,iambic,6,45,9,wswswswswsw
so the dark souls consin'd to endless night,iambic,6,43,8,wswswswsws
consult resolve and act as you decree,iambic,6,37,7,wswswswsws
its horror shall no more belong,iambic,6,31,6,wswswsws
into his straw and till the morning sleeps,iambic,6,42,8,wswswswsws
our infidels are satan's hypocrites,iambic,6,35,5,wswswswsws
lost in the reflux of the watry walls,iambic,6,37,8,wswswswsws
the deepest waves and fiercest wind that blows,iambic,6,46,8,wswswswsws
can long abuse a fond unthinking maid,iambic,6,37,7,wswswswsws
of that which they would perish to obtain,iambic,6,41,8,wswswswsws
and while they run his humble walls about,iambic,6,41,8,wswswswsws
though quench'd in night,iambic,6,24,4,wsws
then let good heav'n withhold or grant success,iambic,6,46,8,wswswswsws
so fares thy church but how thy church may fare,iambic,6,47,10,wswswswsws
is aggravation of offence,iambic,6,25,4,wswswsws
phoebus himself shall leave th' aonian grove,iambic,6,44,7,swswswswssw
who forc'd to yield the nimble hours soon brought,iambic,6,49,9,wswswswswsw
but man whom nature form'd of milder clay,iambic,6,41,8,wswswswsws
too soon dejected and too soon elate,iambic,6,36,7,wswswswsws
whose footsteps these immortals have been here,iambic,6,46,7,wswswswsws
and sense awaken'd scorns her ancient yoke,iambic,6,42,7,wswswswsws
and heed not if with tearful eye,iambic,6,32,7,wswswsws
with happiness who rules the peaceful seat,iambic,6,42,7,wswswswsws
by due gradation nature's sacred law,iambic,6,36,6,wswswswsws
in one no object of our sight,iambic,6,29,7,wswswsws
to hail the regal visit of lorrain,iambic,6,34,7,wswswswsws
he starts he pauses looks around,iambic,6,32,6,wswswsws
keep a cough by them ready made,iambic,6,31,7,wswswsws
and still in death i feel its strong controul,iambic,6,45,9,swswswswsw
and isaac's rigadoon shall live as long,iambic,6,39,7,wswswswsws
does it not touch the will,iambic,6,26,6,wswsws
you'll find in sure revenge affronted love,iambic,6,42,7,wswswswsws
speaking of worth what worth in you doth grow,iambic,6,45,9,swswswswsw
he stands proscrib'd by his own guilty hand,iambic,6,43,8,wswswswsws
and freeborn rivers freer seem to flow,iambic,6,38,7,wswswswsws
no voice profane is heard to breath,iambic,6,35,7,wswswsws
retirement was deny'd to me,iambic,6,27,5,wsswswsws
autumn's rich fruits th' instructed reader gains,iambic,6,48,7,swswswswsws
in vain she calls to happier realms of love,iambic,6,43,9,wswswswswsw
t' have shook the spear of justice soft and smooth,iambic,6,50,10,swswswsswsw
blest be the hour he said that happy hour,iambic,6,41,9,wswsswswswsw
you robb'd the bashful rose and shed,iambic,6,36,7,wswswsws
all fly to thee thou gentle dawn of peace,iambic,6,41,9,wswswswsws
to hail the blessed morn's auspicious ray,iambic,6,41,7,swswswsws
and some ascribe the invention to a priest,iambic,6,42,8,wswswswswsw
nought but confusion and degeneracy,iambic,6,35,5,wswswswswsw
when nature swells her woe o'er suff'ring man,iambic,6,45,8,wswswswsws
no fear their peace destroys,iambic,6,28,5,wswsws
but mark tho' chang'd the spot not chang'd the scene,iambic,6,52,10,wswswswsws
and the weak soul within itself unblest,iambic,6,39,7,wswswswsws
the 'squire who all this time sate mute,iambic,6,39,8,wswswsws
'tis his alone to please instruct advise,iambic,6,40,7,wswswswsws
the rowling main that ever toils below,iambic,6,38,7,wswswswsws
while tow'ring larks their rival notes prolong,iambic,6,46,7,wswswswsws
are proof to every lure of honest fame,iambic,6,38,8,wswsswswsws
of fruit ambrosial moral fruit to man,iambic,6,37,7,wswswswsws
since my appeal says i did strive to prove,iambic,6,42,9,wswswswsws
the basket thus we shall begin,iambic,6,30,6,wswswsws
when charms like these dear maid conspire,iambic,6,41,7,wswswswsw
and now no longer in disguise the men,iambic,6,37,8,wswswswsws
'and those who prize the paltry things,iambic,6,38,7,wswswsws
where no shades near nor useful waters run,iambic,6,42,8,wswswswsws
where they who most enjoy shall much endure,iambic,6,43,8,wswswswsws
late all my comfort all my fond delight,iambic,6,39,8,wswswswsws
thy looks should nothing thence but sweetness tell,iambic,6,50,8,wswswswsws
with smiles and gracious looks her fortune tried,iambic,6,48,8,wswswswsws
a breast so soft as mine must needs sustain,iambic,6,43,9,wswswswsws
it seem'd triumphant holiday and joy,iambic,6,36,6,wswswswsws
nor send more dire conviction we confess,iambic,6,40,7,wswswswsws
illum'd by shakespeare's magic page,iambic,6,35,5,wswswsws
and makes the world the wilderness it is,iambic,6,40,8,wswswswsws
from whence its blessings flow and the rapt voice,iambic,6,49,9,wswswswsws
and a new creature form'd arise,iambic,6,31,6,wswswsws
are foibles then and graces of the mind,iambic,6,39,8,wswswswsws
may bitter memory ne'er recount with pain,iambic,6,41,7,wswsswswsws
tho' thy breast flam'd with universal love,iambic,6,42,7,wswswswsws
no pathless waste or undiscover'd shore,iambic,6,39,6,wswswswsws
as long as mutual love the only law,iambic,6,35,8,wswswswswsw
of toil and honour for thy father's son,iambic,6,39,8,wswswswsws
then might each youth more sasely view,iambic,6,38,7,wswswsws
from keen regrets of duteous fondness glide,iambic,6,43,7,wswswswsws
who trembling heard my parting sigh,iambic,6,35,6,wswswsws
avenge her falshood nor could all the gold,iambic,6,42,8,wswswswsws
ithose are th' opinions who have guided right,iambic,6,45,8,sswswswswssw
their ambush here relentless ruffians lay,iambic,6,41,6,wswswswswsw
there may i lonely turn the sacred page,iambic,6,39,8,wswswswsws
breath'd the free strain as rome and he inspir'd,iambic,6,48,9,wswswswwsws
is difficult their punishment obscene,iambic,6,37,5,wswswswsws
on horseback after we,iambic,6,21,4,wswsws
and though a bishop toil to cleanse the stain,iambic,6,45,9,wswswswsws
learn'd in the maxims of despotick rule,iambic,6,39,7,swswswswsw
less strict devoir the russ and persian claim,iambic,6,45,8,wswswswsws
regardless of another's fame,iambic,6,28,4,wswswsws
apollo and the sacred nine,iambic,6,26,5,wswswsws
and for my sake even so doth she abuse me,iambic,6,41,10,wwswswswswsw
three hundred virtuous females side by side,iambic,6,43,7,wswswswswsw
reels far from reason jostled by the throng,iambic,6,43,8,wswswswsws
that laid alanzon's haughty helmet low,iambic,6,38,6,wswswswsws
the courtier breaks his word 'tis true,iambic,6,38,7,wswswswsw
plays floating ore the bush then silence brake,iambic,6,46,8,wswswswsws
to real semblance tricks her air shew,iambic,6,37,7,swswswsw
where ale thy votaries in full resort,iambic,6,37,7,wswswswsws
when me she first into her favour took,iambic,6,38,8,wswswswsws
close up that very moment to prevent,iambic,6,36,7,wswswswsws
to pour his golden tide through all her gates,iambic,6,45,9,wswswswsws
and only suffer their contempt,iambic,6,30,5,wswswsws
such food as this and therefore i advise,iambic,6,40,8,wswswswsws
be furnish'd in the first place with a head,iambic,6,43,9,wswswswsws
with thicksown stars the radiant pole is crown'd,iambic,6,48,8,wswswswswsw
to feel remorse for this unnatural sin,iambic,6,38,7,wswswswswsw
where the fifth henry arts and arms was taught,iambic,6,46,9,wswswswsws
in your own pow'r alone it lies,iambic,6,31,7,wswsswsws
shake off thy trance and weave an olive crown,iambic,6,45,9,wswswswsws
joyous but soon the treach'rous gloom betrays,iambic,6,45,7,sswswswsws
arise o lord arise,iambic,6,18,4,wswsws
and fancies light in simple guise pourtray,iambic,6,42,7,wswswswsws
since pope himself applauds what she has writ,iambic,6,45,8,wswswswsws
it happen'd as at early dawn,iambic,6,28,6,wswswsws
unbend the bow and curb an iron age,iambic,6,35,8,wswswswsws
the fragrance of thy balmy lip,iambic,6,30,6,wswswsws
who from corioli was nam'd,iambic,6,26,5,wwswswsw
and minds that deem derided pain a treat,iambic,6,40,8,wswswswsws
precise his manner and demure his looks,iambic,6,39,7,wswswswsws
grief touch'd his soul to see them there,iambic,6,40,8,wswswsws
while pleas'd britannia that great man surveys,iambic,6,46,7,wswsswswsws
will only vibrate to thy well known word,iambic,6,40,8,wswswswsws
tho' i'm depriv'd of my kind shepherd's sight,iambic,6,45,8,wswswswsws
for him i'll ever drop the dol'rous tear,iambic,6,40,8,wswswswsws
or meads with silver fountains fed,iambic,6,34,6,wswswsws
he oft repairs there drops a lover's tear,iambic,6,41,8,wswswswsws
see from her ports a thousand banners stream,iambic,6,44,8,wswswswsws
tho' trembling o'er the feeble crutch he bends,iambic,6,46,8,wswswwswsws
swore by her coronet and ermine,iambic,6,31,6,wswswswsw
firm and to false philosophy devote,iambic,6,35,6,wswswswsws
must be with thine transmitted down to shame,iambic,6,44,8,wswswswsws
shakes her sage head at the calamity,iambic,6,36,7,wswswswsws
spreads wide her arms of universal love,iambic,6,39,7,wswswswsws
on the broad front of noon in full career,iambic,6,41,9,wswswswsws
the wrong was his who wrongfully complain'd,iambic,6,43,7,wswswswsws
and interrupt her song as they rejoice,iambic,6,38,7,wswswswsws
thou mayst not smart beneath the selfsame gripe,iambic,6,47,8,wswswswsws
hush'd in dead silence sleep you when 'tis calm,iambic,6,47,9,wswswswsws
pluck off you acorn from its parent bough,iambic,6,41,8,wswswswsws
for their lost sires orphan'd babes complain,iambic,6,44,7,swswswsws
and cold esteem succeed to warm desire,iambic,6,38,7,wswswswswsw
go with thy looks of dark design,iambic,6,32,7,wswswsws
my cruel fate doth act the tyrant's part,iambic,6,40,8,wswswswsws
their copied scene with mangled arts disgrace,iambic,6,45,7,wswswswsws
tho' whirling worlds oppose and globes of fire,iambic,6,46,8,wswswswswsw
fly diverse fly to foreigners to foes,iambic,6,37,7,wswswswsws
tear out the glitt'ring snake tho' ne're so close it twine,iambic,6,58,11,wswswswswswsw
who's nightly in the garden seen,iambic,6,32,6,wswswsws
your melting lines make conscious passion vent,iambic,6,46,7,wswswswsws
the swampy marsh shall its broad flag produce,iambic,6,45,8,wswswswsws
if all the sons of vision dealt in rhyme,iambic,6,40,9,wswswswsws
reluctant left the vessel's side,iambic,6,32,5,wswswsws
of nature's music from a thousand throats,iambic,6,41,7,wswswswsws
in melancholy dipp'd embrowns the whole,iambic,6,39,6,wswswswsws
meanwhile the farmer quits his elbowchair,iambic,6,41,6,wswswswsws
and sway'd the sceptre of his infant realms,iambic,6,43,8,wswswswsws
farewel ye sportive deities of love,iambic,6,35,6,sswswswsws
subordinate and diligence was choice,iambic,6,36,5,wswswswsws
loud flitnas fulminate in love to man,iambic,6,37,7,wswswswsws
and lifts in contrast fair display'd,iambic,6,36,6,wswswsws
'tis virtue only can the bard inspire,iambic,6,37,7,wswswswsws
'tis given to revel in her blissful bower,iambic,6,41,8,wsswswswswsw
still i am wretched if no more you give,iambic,6,39,9,wswswswsws
watchful as lovers i first saw his fate,iambic,6,39,8,wswswswsws
and o in mercy bid my father live,iambic,6,33,8,wswswswsws
at once from plainss of light to earth he falls,iambic,6,47,10,wswswswsws
with friendship's generous love,iambic,6,31,4,wswswsw
should not too often speak nor speak too long,iambic,6,45,9,wswswswsws
give praise that merit which was all her own,iambic,6,44,9,wswswswsws
when first the harp melodious tubal strung,iambic,6,42,7,wswswsswsws
and kneeling crowds adore,iambic,6,25,4,wswsws
fancy it self 'twou'd tire to plumb the abyss,iambic,6,45,9,swswswswswsws
shameful in pomp conspicuously mean,iambic,6,35,5,wswswswsws
but you brave youth have greater wonders done,iambic,6,45,8,wswswswsws
which doth betray a base ignoble mind,iambic,6,37,7,wswswswsws
grandly terrific paints thy birth,iambic,6,33,5,wswswsws
with recent honours bloom'd with every bliss,iambic,6,44,7,wswswswswsw
the languid moon sheds from her silent sphere,iambic,6,45,8,wswswswsws
a courtier summon'd hence of late,iambic,6,33,6,wswswsws
oft with thee lloyd i steal an hour from grief,iambic,6,46,10,wswswswswsw
unnatural oft and foreign to the mind,iambic,6,37,7,wsswswswsws
or future dolours of the birth survive,iambic,6,38,7,wswswswsws
breaks thro' his prison by resentment bold,iambic,6,42,7,wswswswsws
without good breeding truth is not approv'd,iambic,6,43,7,wswswswsws
and yon wide groves already past with pain,iambic,6,42,8,wswswswsws
but th'orchatloss with future crops repair,iambic,6,42,6,swsswswswsws
to these let judgment value give,iambic,6,32,6,wswswsws
o'er feelings nature wrought so high,iambic,6,36,6,wswswsws
so from the astonished stars her nightly train,iambic,6,46,8,wwswswswsws
she found at last her failing side,iambic,6,34,7,wswswsws
more pleasing less intent to please,iambic,6,35,6,wswswsws
lamented change to which full many a cause,iambic,6,42,8,wswswswswsw
long had she fill'd each youth with love,iambic,6,40,8,wswswsws
a joyful welcome sings,iambic,6,22,4,wswsws
to chide the libertine and court the queen,iambic,6,42,8,wswswswsws
and therefore mayst without attaint oerlook,iambic,6,43,6,wswswswswws
and late ink hagley you were seen,iambic,6,33,7,wswswsws
oft have i prais'd them as they stalk'd along,iambic,6,45,9,wswswswsws
observe their haunt and watch with jealous care,iambic,6,47,8,wswswswsws
their humble texture weave but most delight,iambic,6,43,7,wswswswsws
regards wellpleas'd whatever works excel,iambic,6,40,5,wswswswsws
was kindling torches to obscure the sun,iambic,6,39,7,wswswswsws
do they not oft with kind accession flow,iambic,6,40,8,wswswswsws
his sprightly air and glossy dye,iambic,6,32,6,wswswsws
founded on honour wilkes is still himself,iambic,6,41,7,wswswswsws
with impious hand the sacred vestment shred,iambic,6,43,7,wswswswwsws
the laugh which more than censure wounds,iambic,6,40,7,wswswsws
at sight of that sequester'd glade,iambic,6,34,6,wswswsws
in language plain as was his dress,iambic,6,34,7,wswswsws
receive my sayings with a stedfast ear,iambic,6,38,7,wswswswsws
his horse and him unconscious of them all,iambic,6,41,8,wswswswsws
how swift our active spirits urge their way,iambic,6,43,8,wswswswsws
your gifts your honours dance around my strain,iambic,6,46,8,wswswswsws
from heracleum on the mountain's highth,iambic,6,39,6,wswswswsws
what lengths of farfamed ages billow'd high,iambic,6,43,7,wswswswsws
was vanquish'd by the spleen,iambic,6,28,5,wswsws
beyond the proud oppressor's cruel grasp,iambic,6,40,6,wswswswsws
yet wants the honour injur'd to defend,iambic,6,38,7,wswswswsws
resounding thro' the olive shade,iambic,6,32,5,wswswsws
or hear the summon with an idle gaze,iambic,6,36,8,wswswswsws
their interest like a lion lives on prey,iambic,6,40,8,wswswswsws
the steel of brutus burst the grosser bonds,iambic,6,43,8,wswswswsws
his honest friends at thirsty hour of dusk,iambic,6,42,8,wswswswswsw
beneath the myrtle grove inspir'd my lays,iambic,6,41,7,wswswswswsw
but that disease when soberly defin'd,iambic,6,37,6,wswswswsws
shou'd melt his resolution down,iambic,6,31,5,wswswsws
before my lips shall breathe the impartial vow,iambic,6,46,8,wswswswswsw
hark orpheus strikes the lyre again,iambic,6,35,6,wswswsws
by mercers lacemen mantuamakers press'd,iambic,6,39,5,wswswswswsw
thy resistless martial legions,iambic,6,30,4,swswswsw
books pictures statues here we find,iambic,6,35,6,wswswsws
i know your brother loves the beauteous maid,iambic,6,44,8,wswswswswsw
that corfe and kingston gentry think you mad,iambic,6,44,8,wswswswsws
but keep me mild as when love first began,iambic,6,41,9,wswswswsws
from all the hamlet cull'd whom best i lov'd,iambic,6,44,9,wswswswsws
in every liquid there's a constant rowl,iambic,6,39,7,wsswswswsws
secure from each unhallow'd eye,iambic,6,31,5,wswswsws
in that sweet season when the mounting sun,iambic,6,42,8,wswswswsws
why praise we prodigal of fame,iambic,6,30,6,wswswsws
of ceres bacchus andi the athenian maid,iambic,6,39,7,wswswswswswsw
drops his weak wing and sighs his soul away,iambic,6,43,9,wswswswsws
but one more smart than all the rest,iambic,6,36,8,wswswsws
and only virtue's friends be yours,iambic,6,34,6,wswswsws
themselves with bellying goblets nor when spring,iambic,6,48,7,wswsswswsws
made every climate your's and every soil,iambic,6,40,7,wsswswswswsw
o'erlook the failure all offend that live,iambic,6,41,7,wswswswsws
or shall we touch that kind access of joy,iambic,6,41,9,swswswswsw
nor find defence nor charter there,iambic,6,34,6,wswswsws
sigh not ye winds as passing o'er,iambic,6,33,7,wswswsws
and but that thou art incorp'rate with the flame,iambic,6,48,9,wwswswswsws
when hunger call'd they left the wood,iambic,6,37,7,wswswsws
proud gallia treacherously brave,iambic,6,32,4,wswswsws
observing how they spoke with rancour,iambic,6,37,6,wswswswsw
that blooms and withers in an hour,iambic,6,34,7,wswswswsw
lead stern depopulation in her train,iambic,6,36,6,wswswswsws
the prattling streams and zephyrs bland,iambic,6,39,6,wswswsws
before the surgeons brib'd these rogues,iambic,6,39,6,wswswsws
the pasture gay no hurtful weeds be found,iambic,6,41,8,wswswswsws
its high vicegerency in future time,iambic,6,35,6,wswswswsws
behold the saxon cas'd in mailf,iambic,6,31,6,wswswsws
instruct them to pursue the unerring print,iambic,6,42,7,wswswswswsw
too happy to be long admir'd,iambic,6,28,6,wswswswsw
bright cythera the fair,iambic,6,23,4,wswsws
lark linnet thrush and thou of all the grove,iambic,6,44,9,wswswswsws
behold thyself reflected here,iambic,6,29,4,wswswsws
we cannot 'tis impossible to part,iambic,6,33,6,wswswswsws
to be the slave of greatness to strike sail,iambic,6,43,9,wswswswsws
then clad in weeds of woe i see thee come,iambic,6,41,10,wswswswsws
while that sells best that's most against the law,iambic,6,49,9,wswswswsws
the butler hanging down his head,iambic,6,32,6,wswswsws
while stars by conscious twinklings seem'd to know,iambic,6,50,8,wswswswsws
view'd a deliv'rer with disdain and hate,iambic,6,40,7,wswswswsws
improve the kind occasion understand,iambic,6,36,5,wswswswsws
a fatal harvest on the deck,iambic,6,27,6,wswswsws
expecting soon the friendlyfurious wave,iambic,6,39,5,wswswswswsw
active strength and cunning sleight,iambic,6,35,5,swswsws
they urge the traveller's common chance,iambic,6,39,6,wswsswsws
mistress of the vocal song,iambic,6,26,5,swswsws
and recompense our cares,iambic,6,24,4,wswsws
the ripen'd harvst now demands your care,iambic,6,40,7,wsswswsws
behind and strikes them from the book of life,iambic,6,45,9,wswswswsws
hides his grim aspect from the sight of men,iambic,6,43,9,wswswswsws
now the shrill cornpipes echoing loud to arms,iambic,6,45,8,wswswswswsw
whose latrant stomachs oft molest,iambic,6,33,5,wswswsws
and rustic battle ends the boobies 'broil,iambic,6,41,7,wswswswsws
where she presides all must be nobly great,iambic,6,42,8,wswswswsws
thy wisdom's empty boast,iambic,6,24,4,wswsws
where your great master's orb his planets where,iambic,6,47,8,wswswswsws
oft inadvertent by the boiling stream,iambic,6,37,6,wswswswsws
sweet groves i love your silent shades,iambic,6,38,7,wswswsws
for when the body oft expiring lies,iambic,6,35,7,wswswswsws
since yet the glorious name of orange stands,iambic,6,44,8,wswswswsws
who not to sleep allow'd the needful time,iambic,6,41,8,wswswswsws
forming of life artciviliz'd the bond,iambic,6,37,6,swswswswsw
awakes the kindling ray,iambic,6,23,4,wswsws
as often wish his tedious race was run,iambic,6,38,8,wswswswswsw
and ever musing on the common weal,iambic,6,34,7,wswswswsws
he had not time to feel in town,iambic,6,31,8,wswswsws
burst from the pallid sickly sky,iambic,6,32,6,wswswsws
reach the blest seats and waft our tender woe,iambic,6,45,9,wswswswsws
the moorish squadron to the capital,iambic,6,35,6,wswswswsws
to them the sounding jargon of the schools,iambic,6,42,8,wswswswsws
o haste to me while o'er thy way she strews the fairest flowers,iambic,6,63,13,wswwswwswswssw
first tun'd the british harp and little deem'd,iambic,6,46,8,wswswswsws
will not affront me and no other can,iambic,6,36,8,wswswswsws
i from this picture plainly see,iambic,6,31,6,wswswsws
at first thinwavering till at last the flakes,iambic,6,45,8,wswswswswsw
upon the least appearance of relief,iambic,6,35,6,wswswswsws
not all the storms that shake the pole,iambic,6,38,8,wswswsws
who had so sweetly shone she seem'd 'till now,iambic,6,45,9,wswswswsws
ah do not yet give o'er thy plaintive lay,iambic,6,41,9,wswswswsws
and sense by right divine ascends the throne,iambic,6,44,8,wswswswsws
the murd'rous zeal of a weak romishp queen,iambic,6,42,8,wswswswsws
and phoebus fiercely twangs the sprightly lyre,iambic,6,46,7,wswswswsws
and austria scourg'd o'er all the subject seas,iambic,6,46,8,wswswswswsw
the noble spirit that in dangers brave,iambic,6,38,7,wswswswsws
when chance revers'd the prosp'rous day,iambic,6,39,6,wswswsws
and last of vulgar tribes a countless crowd,iambic,6,43,8,wswswswsws
could fetch from records of an earlier age,iambic,6,42,8,wswswswswsw
shook a white shower from the blackthorn bush,iambic,6,45,8,wswswswsws
i curs'd the cause that forc'd him to expire,iambic,6,44,9,wswswswsws
in boundless walks of raptured thought where gods,iambic,6,49,8,wswswswsws
but ah what daedal hand can trace,iambic,6,33,7,wswswsws
to loftier chambers of the deep,iambic,6,31,6,wswswsws
weigh anchor spread thy sails call every wind,iambic,6,45,8,wswswswswsw
no busy steps the grassgrown footway tread,iambic,6,42,7,wswswswsws
and here in tinctur'd wool we now behold,iambic,6,40,8,wswswswsws
and see his conscience ripp'd with steady eye,iambic,6,45,8,wswswswsws
beheld a thousand temples rise,iambic,6,30,5,wswswsws
to distant nations or with sov'ran sway,iambic,6,39,7,wswswswsws
purge thou my heart with hyssop lest like cain,iambic,6,46,9,wswswswsws
a phantom brighter than the blaze of day,iambic,6,40,8,wswswswsws
who sav'd a nation than who nations won,iambic,6,39,8,wswswswsws
unequal fate his fall without his guilt,iambic,6,39,7,wswswswsws
not from the burnets oldmixons and cooks,iambic,6,40,7,wswswswsws
she from whose pensive and mellifluous throat,iambic,6,45,7,wswswswswsw
have each a med'cine for the rustic mind,iambic,6,40,8,wswswswsws
to raise my vernal joys conspire,iambic,6,32,6,wswswswsw
what numbers sheath'd in erudition lie,iambic,6,38,6,wswswswsws
'from better habitations spurn'd,iambic,6,32,4,wswswsws
were sons indeed they felt a filial heart,iambic,6,41,8,wswswswswsw
that you yourself being extant well might show,iambic,6,46,8,wwswswswsws
'tis good 'tis pleasant through th' advancing year,iambic,6,50,8,wswsswswsws
so swam achilles fierce and brave,iambic,6,33,6,wswswsws
as that immortal flame you've rais'd in me,iambic,6,42,8,wswswswsws
but now the roses from her cheeks were flown,iambic,6,44,9,wswswswsws
their portraiture in the inverted heaven,iambic,6,40,6,wswswswswsw
the pure beverage of the bee,iambic,6,28,6,swswswsw
and rest in dead contraction lost,iambic,6,33,6,wswswsws
't was his at cards each novice to trepan,iambic,6,41,9,swswswsswsw
with downcast streaming eyes,iambic,6,28,4,wswsws
his appetite unanswer'd by his pow'r,iambic,6,36,6,wswswswswsw
who smiles each happy day possest,iambic,6,33,6,wswsswsw
shall profit thee and much enrich thy book,iambic,6,42,8,wswswswsws
but are not criticks to their judgment too,iambic,6,42,8,wswswswsws
so near proud rhodes across the raging flood,iambic,6,44,8,wswswswsws
this image on the medal place'd,iambic,6,31,6,wswswsws
fair emblems of your mistress 'breast,iambic,6,37,6,wswswsws
renounces wisdom's sullen pomp,iambic,6,30,4,wswswsws
more bright than streams of fluid silver are,iambic,6,44,8,wswswswsws
and leaning on her faithful breast,iambic,6,34,6,wswswsws
she there shall dress a sweeter sod,iambic,6,35,7,wswswsws
fierce partyrage each village fires,iambic,6,35,5,wswswswsw
haste haste he lies in wait he's at the door,iambic,6,44,10,wswswswsws
and thou fair indian whose immense domain,iambic,6,41,7,wswswswsws
the glare of courts and luxury of state,iambic,6,39,8,wswswswsws
thy smiles all human sorrows mock,iambic,6,33,6,wswswsws
comes lagging like a distanc'd horse,iambic,6,36,6,wswswsws
thy frozen floods delight no more,iambic,6,33,6,wswswsws
of past delight calls forth his beauteous bride,iambic,6,47,8,wswswswswsw
decrepid age nor that from harvey nam'd,iambic,6,39,7,wswswswsws
but vice whose face is ever bare,iambic,6,32,7,wswswsws
impatient to devour,iambic,6,19,3,wswswsw
medon pisander and a hundred more,iambic,6,33,6,swswswwsws
the warlike wodehouse march'd with prowest might,iambic,6,48,7,wswswswsws
the soft fallacious gleam of hope and turns,iambic,6,43,8,wswswswsws
his pow'rful works his daily praise renew,iambic,6,41,7,wswswswsws
the unequivocal authentic deed,iambic,6,30,4,wswswswsws
now sinks in everlasting night,iambic,6,30,5,wswswsws
and on the virgin cast a parting eye,iambic,6,36,8,wswswswsws
with glaring eyeballs cross our way,iambic,6,35,6,wswswsws
betray thea founder of messiah's line,iambic,6,37,6,wswswswsws
and bids alphonso by a sep'rate course,iambic,6,38,7,wswswswsws
for all they had to live upon was grief,iambic,6,39,9,wswswswsws
this could not be the lure of beasts of prey,iambic,6,44,10,wswswswsws
there peaceful shades yon conscious grove,iambic,6,41,6,wswswsws
say must the muse th' unwilling task pursue,iambic,6,43,8,swswswswsws
the generous almoner of health,iambic,6,30,5,wsswswsws
the most gigantic sons of earth the broad,iambic,6,41,8,wswswswsws
what tho' at the imagin'd tale,iambic,6,30,6,wswswsws
reclin'd a studied carelessness express'd,iambic,6,41,5,wswswswsws
while chalky cliffs o'erlook the shaded deep,iambic,6,44,7,wswswswsws
as the soft touch dissolv'd the virginzone,iambic,6,42,7,wswswswsws
the boy abash'd and half afraid,iambic,6,31,6,wswswsws
she shook her head its meaning well i knew,iambic,6,42,9,wswswswsws
the rest are on the wing how fleet their flight,iambic,6,47,10,wswswswsws
thef lively image of his father's grace,iambic,6,39,7,wswswswsws
then oft well pleas'd with them retire,iambic,6,38,7,wswswsws
points out what merits praise what merits blame,iambic,6,47,8,wswswswsws
torn out and blotted from the list of fame,iambic,6,42,9,wswswswsws
shadow and sunshine intermingling quick,iambic,6,39,5,sswswswswsw
this bleeding heart would know no smarting pain,iambic,6,47,8,wswswswsws
to combat atheists with in modern days,iambic,6,38,7,wswswswwsws
if you would learn death's character attend,iambic,6,43,7,wswswswsws
weeps tears of joy and bursts into a song,iambic,6,41,9,wswswswsws
and while she stands abash'd with conscious eye,iambic,6,47,8,wswswswsws
on her resolves the western world relies,iambic,6,40,7,wswswswsws
for fix'd or worth her thought this rolling ball,iambic,6,48,9,wswswswsws
from hecatombs by heroes slain,iambic,6,30,5,wswswsws
for thou hast long liv'd in my heart,iambic,6,36,8,wswswsws
o'er those fair lawns to pour a sanguine flood,iambic,6,46,9,wswswswsws
her bosom with the raging passion burns,iambic,6,39,7,wswswswsws
from ev'ry window and the fields are green,iambic,6,42,8,wswswswsws
weighs more than ages of renown,iambic,6,31,6,wswswsws
then o'er the sanded valley floating spreads,iambic,6,44,7,wswswswsws
i should deserve to forfeit all applause,iambic,6,40,7,wswswswsws
moral or intellectual more intense,iambic,6,34,5,wswswswsws
ye borderers on the coasts of bliss what are you,iambic,6,48,10,wswswswswsww
nor kill with frown severe one harmless lyar,iambic,6,44,8,wswswswsws
but if they own ingenuous virtue's sway,iambic,6,39,7,wswswsswsws
they call'd them out by two and three,iambic,6,37,8,wswswsws
no matron ever sweetly sung,iambic,6,27,5,wswswsws
