Verse,Meter,Stressed_Verse
then he beheld in a dream once more the home of his childhood,dactyl,wswswswswswswsw
gleamed on the sky and sea and the ships that lay in the roadstead,dactyl,wswswswswswswsw
day after day with their indian guides the maiden and basil,dactyl,wswswwswswsswsw
long at her father's door evangeline stood with her right hand,dactyl,wswswswswswswsw
every house was an inn where all were welcomed and feasted,dactyl,swswswswswswsws
not far withdrawn from these by the cider press and the beehives,dactyl,wswswswwswswwsw
in the dead of the night she heard the disconsolate rain fall,dactyl,wwswswswswswsws
how have you nowhere encountered my gabriel's boat on the bayous',dactyl,wswswswswswswswsw
on this mat by my side where now the maiden reposes,dactyl,wwswwswswsswsw
as in the days of her youth evangeline rose in his vision,dactyl,wswswwswswswswsw
ah she was fair exceeding fair to behold as she stood with,dactyl,wswswswswswswsw
even the blood red ear to evangeline brought not her lover,dactyl,swswswswswswswsw
all things were held in common and what one had was another's,dactyl,wswswswswswswsw
then as the night descended the herds returned from their pastures,dactyl,wswswswswswswsw
empty and drear was each room and haunted with phantoms of terror,dactyl,wswswswswswswswsw
raising his reverend hand with a gesture he awed into silence,dactyl,sswswswswswswswsw
gabriel was it who weary with waiting unhappy and restless,dactyl,swswswsswsswsswsw
death to these foreign soldiers who seize on our homes and our harvests',dactyl,wswswswswswswwsw
rose wreathed vine encircled a broad and spacious veranda,dactyl,wswswswswsswsw
thoughtful for gabriel came not and now dark doubts and misgivings,dactyl,wswsswswswswswsw
that the dying heard it and started up from their pillows,dactyl,wwsswswswswwsw
still stands the forest primeval but far away from its shadow,dactyl,wswswswswswswwsw
faces of friends she beheld that were mournfully gazing upon her,dactyl,swswswswswswsswsw
but with a vacant stare ever gazed at the flickering firelight,dactyl,wswsswsswswsswsws
therefore trust to thy heart and to what the world calls illusions,dactyl,swswwswswswswsw
we will follow him fast and bring him back to his prison',dactyl,wwsswswswswwsw
night after night when the world was asleep as the watchman repeated,dactyl,wswswswswswswswsw
so on the hearts of the people descended the words of the speaker,dactyl,wswswswswswswswsw
but with a smile and a sigh she clasped his neck and embraced him,dactyl,wswswswswswswsw
till having gathered them all he flung them abroad in derision,dactyl,wswswswswswswsws
talk not of wasted affection affection never was wasted,dactyl,wswsswswwswsswsw
distant and soft on her ear fell the chimes from the belfry of christ church,dactyl,swswswswswswswsws
thus dwelt together in love these simple acadian farmers,dactyl,wswswswswswsswsw
foremost the young men came and raising together their voices,dactyl,wswswswsswsswsw
long ere noon in the village all sounds of labor were silenced,dactyl,wswswsswswsswsw
threw the long shadows of trees o'er the broad ambrosial meadows,dactyl,wswswswswswswsw
where on their pallets they lay like drifts of snow by the roadside,dactyl,wswswswswswswsw
therefore accomplish thy labor of love till the heart is made godlike,dactyl,swswswsswswswswsw
man is unjust but god is just and finally justice,dactyl,wswswswswsswsw
breathed like the evening wind and whispered love to the maiden,dactyl,wswswswswswwsw
lived on his sunny farm and evangeline governed his household,dactyl,wswsswswswswswsw
as through the garden gate and beneath the shade of the oak trees,dactyl,wswswswswswswsw
sorrow and silence are strong and patient endurance is godlike,dactyl,sswsswswswswswsw
vainly he strove to whisper her name for the accents unuttered,dactyl,wswswswswswswsws
like unto shipwrecked paul on melita's desolate sea shore,dactyl,wswsswswswswsws
looked with its agonized face on the multitude kneeling beneath it,dactyl,wswswswswswswswsw
all the tale of her love with its pleasures and pains and reverses,dactyl,wswswswwswswswsw
still was mute but at length as if a mysterious horror,dactyl,wswswswwswsswsw
late in the afternoon when the sun was near to his setting,dactyl,wswswswswswswsw
and her ear was pleased with the thee and thou of the quakers,dactyl,wwswswswwswwsw
rose like flakes of foam on the adverse currents of ocean,dactyl,wswswswswswsws
fading and melting away and dissolving into the sunshine,dactyl,swswswswswswswsw
speechless at first they stood then cried aloud in their anguish,dactyl,wswswswswswwsw
over the joyous feast the sudden darkness descended,dactyl,sswswswswswsws
merrily merrily whirled the wheels of the dizzying dances,dactyl,swsswswswswsswsw
lonely and wretched roofs in the crowded lanes of the city,dactyl,wswswswwswswwsw
something within her said 'at length thy trials are ended',dactyl,wswswswswsswsw
thither as leaves to the light were turned her thoughts and her footsteps,dactyl,swswswswswswwsw
deepened and darkened around and in haste the refluent ocean,dactyl,swswswswswswswsw
will be proclaimed as law in the land alas in the mean time,dactyl,wswswswwswswsws
dreamlike and indistinct and strange were all things around them,dactyl,wswswswswwswsw
patient full of importance and grand in the pride of his instinct,dactyl,sswswswswswswwsw
angel of god was there none to awaken the slumbering maiden,dactyl,wswswswswsswswsw
caught and reflected the flame as shields of armies the sunshine,dactyl,wswswswswswswsw
nothing is left but the blacksmith's sledge and the scythe of the mower',dactyl,swswswswswswswsw
namely that all your lands and dwellings and cattle of all kinds,dactyl,wswswswsswswsws
nor after many days had they found him but vague and uncertain,dactyl,wswsswswswswswsw
slowly slowly slowly the days succeeded each other,dactyl,swswswswswswsw
motionless senseless dying he lay and his spirit exhausted,dactyl,sswswswswswsswsw
such as the druids cut down with golden hatchets at yuletide,dactyl,wswswswwswsswsw
or the loud bellowing herds of buffaloes rush to the river,dactyl,wswsswswswswswsw
such was the sound that arose on the night as the herds and the horses,dactyl,wwswswswswswswwsw
and by one impulse moved they madly rushed to the doorway,dactyl,wswswswswswwsw
now the city surrounds it but still with its gateway and wicket,dactyl,swsswswswswsswsw
but their dwellings were open as day and the hearts of the owners,dactyl,wwsswsswswwswwsw
ever silent or speaking only of thee and his troubles,dactyl,swsswswswswswsw
stood she and listened and looked till overcome by emotion,dactyl,wswsswswswswsws
came from the neighboring hamlets and farms the acadian women,dactyl,wswsswswswswsswsw
fill our hearts this day with strength and submission and patience',dactyl,wswswswswsswsw
michael the fiddler was placed with the gayest of hearts and of waistcoats,dactyl,sswswswswwswswswsw
then as the herdsman turned to the house through the gate of the garden,dactyl,wswswswswswswwsw
spinning flax for the loom that stood in the corner behind her,dactyl,swswswswswswsws
but on evangeline's heart fell his words as in winter the snow flakes,dactyl,wswswswswswwswsws
it was the month of may far down the beautiful river,dactyl,wswswwswwswsww
wending her quiet way she entered the door of the almshouse,dactyl,wswswswswswswsw
flashed on their swarthy cheeks and their forms wrapped up in their blankets,dactyl,wswswswswswswsw
hark how those lips still repeat the prayer o father forgive them,dactyl,swswswswswsswsw
as when after a storm a gust of wind through the tree tops,dactyl,wwswswswswswsw
urged by their household cares and the weary feet of their children,dactyl,wswswswwswswwsw
much he teaches the people and tells them of mary and jesus,dactyl,wswswswswswsswsw
through the long night she lay in deep oblivious slumber,dactyl,wswswswswsswsw
seemed to inundate her soul with indefinable longings,dactyl,swswswswswsswsw
through those shadowy aisles had gabriel wandered before her,dactyl,wwsswswsswswssw
rudely carved was the porch with seats beneath and a footpath,dactyl,swswwswswswwsw
knelt the black robe chief with his children a crucifix fastened,dactyl,wswswswswswswsw
all day long the wains came laboring down from the village,dactyl,swswswswswswsw
desolate northern bays to the shores of tropical islands,dactyl,sswswswwswsswsw
bright rose the sun next day and all the flowers of the garden,dactyl,wswswswswswswsw
he was a valiant youth and his face like the face of the morning,dactyl,wswswswswswswwsw
blossomed the lovely stars the forget me nots of the angels,dactyl,swswswswswswwsw
linen and woollen stuffs by the hand of evangeline woven,dactyl,sswswswswswswsws
plaintive at first were the tones and sad then soaring to madness,dactyl,swswswswswswsws
came from the graves of the dead nor the gloomier grave of the living,dactyl,wswswswswswswswsw
bearded with moss and in garments green indistinct in the twilight,dactyl,swswswswswswswsw
died and was doomed to haunt unseen the chambers of children,dactyl,wswswswswswsws
bursting with hay were the barns themselves a village in each one,dactyl,swswswswswswsws
busily plied the freighted boats and in the confusion,dactyl,sswswswswwswsw
days and weeks and months and the fields of maize that were springing,dactyl,wswswswswswwsw
stood a cluster of trees with tangled cordage of grape vines,dactyl,swsswswswswsws
that on the day before with horses and guides and companions,dactyl,wswswswswswswsw
and what their errand may be i know not better than others,dactyl,wswsswswswsswsw
farewell' said the priest as he stood at the shadowy threshold,dactyl,wswswswswwsswsw
gay and luxuriant flowers are brighter and fuller of fragrance,dactyl,wswswsswsswsswsw
as from a magic trance the sleepers awoke and the maiden,dactyl,wswswswswswswsw
village and mountain and woodlands and walking under their shadow,dactyl,sswswswswswswsws
there in the shade of the porch were the priest and the notary seated,dactyl,wswswswswswwsswsw
purified strengthened perfected and rendered more worthy of heaven',dactyl,swswswswswswswsw
but it was long ago in some far off place or forgotten,dactyl,wswswswswswswsw
she in turn related her love and all its disasters,dactyl,wwswsswswwswsw
dikes that the hands of the farmers had raised with labor incessant,dactyl,wswswswswswsswsw
forfeited be to the crown and that you yourselves from this province,dactyl,wswswswswswswwsw
and as she pressed once more the lifeless head to her bosom,dactyl,wwswswwswswwsw
ran through her frame and forgotten the flowerets dropped from her fingers,dactyl,swswswsswswswswsw
triumphs and well i remember a story that often consoled me,dactyl,swswswswswswswsws
smote him upon the mouth and dragged him down to the pavement,dactyl,wswswswswswwsw
smiling she spake these words then suddenly paused for her father,dactyl,sswswswswswswsw
kindly and oft and recalling the past while basil enraptured,dactyl,swswswswswswswsw
what their design may be is unknown but all are commanded,dactyl,wswswwswswwswsw
there the long wandering bride shall be given again to her bridegroom,dactyl,wswswswswsswswwsw
when she had passed it seemed like the ceasing of exquisite music,dactyl,wswswswwswswswsw
happy at length if he find the spot where it reaches an outlet,dactyl,swswswswswswswsw
hot and red on his lips still burned the flush of the fever,dactyl,wswswswswswwsw
said with a sigh to the friendly priest 'o father felician,dactyl,wswswwswswsswsw
stalwart and stately in form was the man of seventy winters,dactyl,wswswswswswsswsw
bellowing fly the herds and seek to break their enclosures,dactyl,swswswswswswsw
ran near the tops of the trees but the house itself was in shadow,dactyl,wswswswswswswwsw
walking from side to side with a lordly air and superbly,dactyl,swswswswswswsws
suddenly rose from the south a light as in autumn the blood red,dactyl,swswswswswwswsws
roll away and afar we behold the landscape below us,dactyl,swswswswswswsws
came o'er her heart and unseen she stole forth into the garden,dactyl,wswswswswswswsw
silent with heads uncovered the travellers nearer approaching,dactyl,sswswsswsswsswsw
lo where the crucified christ from his cross is gazing upon you,dactyl,wswswswswswsswsw
came on the evening breeze by the barking of dogs interrupted,dactyl,wswswswwswswswsw
for he told them tales of the loup garou in the forest,dactyl,wwswswswsswwsw
fell here and there through the branches a tremulous gleam of the moonlight,dactyl,wswswswswswswswsw
rang out the hour of nine the village curfew and straightway,dactyl,wswsswswswswsws
finding among the children of penn a home and a country,dactyl,wswswswswswswsw
hope still guided them on as the magic fata morgana,dactyl,swswswswswsswsw
cotton trees nodded their shadowy crests they swept with the current,dactyl,sswsswswswswswsw
though he behold it not he can hear its continuous murmur,dactyl,wswswswswswsswsw
in the midst of the strife and tumult of angry contention,dactyl,wswswswswswswsw
far offindistinctas of wave or wind in the forest,dactyl,wswswswswswwsw
louder and ever louder a wail of sorrow and anger,dactyl,sswswsswswsswsw
somewhat apart from the village and nearer the basin of minas,dactyl,wswswwsswsswsswsw
but as a traveller follows a streamlet's course through the valley,dactyl,wswsswsswswswwsw
grew up together as brother and sister and father felician,dactyl,wswsswsswsswsswsw
still in her heart she heard the funeral dirge of the ocean,dactyl,wswswswswswswsw
thus they ascended the steps and crossing the breezy veranda,dactyl,wswswswswswswsws
gone was the glow from his cheek and the fire from his eye and his footstep,dactyl,wswswswswswswswwsw
thither by night and by day came the sister of mercy the dying,dactyl,sswswswswswswswsw
or at the joyous feast of the patron saint of the village,dactyl,wswswswwswswwsw
such as at home in the olden time his fathers before him,dactyl,wswswwswswsswsw
up the staircase moved a luminous space in the darkness,dactyl,wwswswswswwsw
stript of its golden fruit was spread the feast of betrothal,dactyl,wswswswswswsws
thus with violent deeds and hearts overflowing with hatred,dactyl,swswswswswsswsw
asked of the earth but a grave and no longer a friend nor a fireside,dactyl,wswswswswswswswsws
long under basil's roof had he lived like a god on olympus,dactyl,wswsswswswswswsw
tired with their midnight toil the weary travellers slumbered,dactyl,wswswswswsswsw
slowly the reverend man advanced to the strangers and bade them,dactyl,sswsswswswwswsws
back to their springs like the rain shall fill them full of refreshment,dactyl,wswswswswswswsw
like the protecting hand of god inverted above them,dactyl,wswswswswswsws
crown us with asphodel flowers that are wet with the dews of nepenthe',dactyl,swswswswswswswswsw
hearty and hale was he an oak that is covered with snowflakes,dactyl,swswswswswsswsw
hanging between two skies a cloud with edges of silver,dactyl,wswswswswsswsw
leaving behind it broader and deeper the gloom and the shadow,dactyl,wswswswswswswwsw
moved to the depths of her soul by pity and woman's compassion,dactyl,wswswwswsswsswsw
so when the fruitless search the disappointed endeavor,dactyl,wswswswswswsws
stands on the banks of its beautiful stream the city he founded,dactyl,wswswswswswsswsw
such were the words of the priest and there in haste by the sea side,dactyl,wswswswswswswsw
over evangeline's face at the words of basil a shade passed,dactyl,sswswswswswswsws
distant secluded still the little village of grand pr,dactyl,sswswswswswswss
for it is not like that of our cold acadian climate,dactyl,wwswwswwswsswsw
in doors warm by the wide mouthed fireplace idly the farmer,dactyl,wswswswswswswsw
see in those sorrowful eyes what meekness and holy compassion,dactyl,wswswswswswsswsw
wandered the faithful priest consoling and blessing and cheering,dactyl,wswswswsswsswsw
under a towering oak that stood in the midst of the village,dactyl,wswswswswswswwsw
lifted her golden crown above the heads of the boatmen,dactyl,wswswswswswwsw
over them wandered the wolves and herds of riderless horses,dactyl,swswswswswsswsw
lay in the stream and along the wimpling waves of their margin,dactyl,swswswswswswwsw
once as they sat by their evening fire there silently entered,dactyl,wswswwswsswsswsw
having no fear of the sword that flashed in the sunshine above them,dactyl,swswswswswswswsw
down to the river's brink where the boatmen already were waiting,dactyl,wswswswswswsswsw
yet in her sorrow pleased that one who had suffered was near her,dactyl,wswsswswswswsws
gave they with words of cheer and she sat and feasted among them,dactyl,wswswswswswswsw
louisburg is not forgotten nor beau sjour nor port royal,dactyl,swswswswswswswsw
here no stony ground provokes the wrath of the farmer,dactyl,swswswswswwsw
lo the door of the chancel opened and father felician,dactyl,wswswswsswsswsw
waiting with anxious hearts the dubious fate of to morrow,dactyl,sswswswswswswsw
with whatsoever else was writ in the lore of the village,dactyl,wswswswswswswsw
he is not far on his way and the fates and the streams are against him,dactyl,wswswswswswswswsw
just where the woodlands met the flowery surf of the prairie,dactyl,wswswswswswswsw
now from the country around from the farms and neighboring hamlets,dactyl,wswswswswswsswsw
sat in the cheerful sun and rejoiced and gossiped together,dactyl,wswswswsswsswsw
brings them here for we are at peace and why then molest us',dactyl,wswwswwswwswsw
said as they journeyed along 'on the western slope of these mountains,dactyl,wswswswswswswwsw
seemed like enchanted ground and her swarthy guest the enchantress,dactyl,wswswswswswswsw
laughed when a man was crowned or a breach was made in the king row,dactyl,wswswswswswswsw
strikes aslant through the fogs that darken the banks of newfoundland,dactyl,swswswswswswsws
nor six suns have risen and set since gabriel seated,dactyl,swswsswswsswsw
so with songs on their lips the acadian peasants descended,dactyl,wwswswswsswsswsw
like the sweet thoughts of love on a darkened and devious spirit,dactyl,wswswswwswswswsw
to the soft flow of her magical words till the region around her,dactyl,wswswwswswswswsws
silent a moment they stood in speechless wonder and then rose,dactyl,sswsswswswswsws
and perchance canst tell us some news of these ships and their errand',dactyl,swswswswswswwsw
tipping its summit with silver arose the moon on the river,dactyl,sswswswswswswwsw
speaking these words he blew a wrathful cloud from his nostrils,dactyl,wswswswswswwsw
sweet on the summer air was the odor of flowers in the garden,dactyl,wswswswwsswswswsw
dwells in his little village the black robe chief of the mission,dactyl,wswswswswswswsw
burning your dwellings and barns and stealing your farms and your cattle',dactyl,wswsswswswswswsw
as when a lamp is blown out by a gust of wind at a casement,dactyl,wswswswwswswswsw
silence reigned o'er the place the line of shadow and sunshine,dactyl,swswwswswsswsw
strongly built were the houses with frames of oak and of hemlock,dactyl,swswwswswswswsw
is this the fruit of my toils of my vigils and prayers and privations,dactyl,wswswswswswswswsw
far in advance are closed the leaves of the shrinking mimosa,dactyl,wswswswswswswsw
rose with his arms uplifted the figure of basil the blacksmith,dactyl,swswswswsswsswsw
met in a dusky arch and trailing mosses in mid air,dactyl,wswswswswswsws
so seemed it wise and well unto all and betimes on the morrow,dactyl,wswswswswswswwsw
borne aloft on his comrades' arms came michael the fiddler,dactyl,swswwswswsswsws
northward its prow was turned to the land of the bison and beaver,dactyl,swswswswswwsswsw
thus to the gaspereau's mouth they hurried and there on the sea beach,dactyl,wswswswswswswsws
waited and looked in vain for the voice and the hand of the milk maid,dactyl,swswswswswswswsw
such in the soul of man is faith the blossoms of passion,dactyl,wswswswswsswsw
shaded by china trees in the midst of luxuriant gardens,dactyl,sswswswswswswsw
list to a tale of love in acadie home of the happy,dactyl,swswswswswswwsw
far o'er the gable projected a roof of thatch and a staircase,dactyl,wswsswswswswswsw
swiftly they glided away like the shade of a cloud on the prairie,dactyl,wswsswswswswswwsw
deep were his tones and solemn in accents measured and mournful,dactyl,wswswsswswsswsw
while intermingled with these across the meadows were wafted,dactyl,wswswswsswsswsw
nearer and round about her the manifold flowers of the garden,dactyl,sswswswwswswswsw
have you so soon forgotten all lessons of love and forgiveness,dactyl,wswswsswswswswsw
while evangeline stood like one entranced for within her,dactyl,swswswswswswsw
murmuring ever of love while above in the variant breezes,dactyl,wswswswswswwsswsw
when they had reached the place they found only embers and ashes,dactyl,wwswswswswswsws
down on the pavement below the clattering scales of the balance,dactyl,wswswsswswswswsw
like a magician extended his golden wand o'er the landscape,dactyl,wswswswswswswwsw
and as they turned at length to speak to their silent companion,dactyl,wswswswswwsswsw
moistening the feverish lip and the aching brow and in silence,dactyl,swswswswswswswwsw
be transported to other lands god grant you may dwell there,dactyl,wswswswswswsws
fixed his eyes upon her as the saint of his deepest devotion,dactyl,swswswswswswswsw
stood in the public square upholding the scales in its left hand,dactyl,wswswswswswswsw
near to whose shores they glided along invited to slumber,dactyl,wswswsswswsswsw
bound by the bonds of a common belief and a common misfortune,dactyl,wswswwsswswwsswsw
inland and far up the shore the stranded boats of the sailors,dactyl,swswswswswswwsw
but when their meal was done and basil and all his companions,dactyl,wwswswwsswwswsw
firmly builded with rafters of oak the house of the farmer,dactyl,swswswswswswwsw
silently one by one in the infinite meadows of heaven,dactyl,swswswswswswswsw
so unto separate ships were basil and gabriel carried,dactyl,wswsswswsswsswsw
merrily laughed and said they were nuns going into the chapel,dactyl,sswswswswsswswsw
and of the prairies whose numberless herds were his who would take them,dactyl,wswsswswswswswsw
divers and distant far was seen the wandering maiden,dactyl,sswswswswswsw
noblest of all the youths was gabriel son of the blacksmith,dactyl,sswswswswswswsw
then evangeline slept but the boatmen rowed through the midnight,dactyl,swswswswswswwsw
oft on autumnal eves when without in the gathering darkness,dactyl,wswswswswswsswsw
on whose pendulous stairs the angels ascending descending,dactyl,wswswswswswswsw
such as they sang of old on their own acadian rivers,dactyl,wswswswwswsswsw
sweet was the moist still air with the odor of milk from their udders,dactyl,wswswswwswswswsw
lighting his pipe that was filled with sweet natchitoches tobacco,dactyl,sswswswswswsswsw
then from a neighboring thicket the mocking bird wildest of singers,dactyl,wswsswsswswswswsw
seizes the hills in his hands and drags them down to the ocean,dactyl,swswswswswswwsw
camp fires long consumed and bones that bleach in the sunshine,dactyl,wswswswswswwsw
then there appeared and spread faint streaks of gray o'er her forehead,dactyl,wswswswswswwsw
there were the folds for the sheep and there in his feathered seraglio,dactyl,wswswswswswsswsws
strutted the lordly turkey and crowed the cock with the selfsame,dactyl,sswswswswswswsw
mingling its notes with the soft susurrus and sighs of the branches,dactyl,swswswswswswswwsw
saw she slowly advancing alas how changed was his aspect,dactyl,swswswswswswwsw
this was the lesson a life of trial and sorrow had taught her,dactyl,wswsswswsswswsws
sang they and fell on their knees and their souls with devotion translated,dactyl,wswswwswswswsswsw
thereupon the priest her friend and father confessor,dactyl,swswswswsswsw
twas the returning tide that afar from the waste of the ocean,dactyl,wswswswswswswwsw
more in a single night than a whole canadian summer,dactyl,wswswswwswsswsw
matrons and maidens sat in snow white caps and in kirtles,dactyl,sswswswswswwsw
and through the amber air above the crest of the woodland,dactyl,wswswswswswwsw
opened and forth came the guard and marching in gloomy procession,dactyl,swswswswswswswsw
stood on the side of a hill commanding the sea and a shady,dactyl,wswswwswswswswsw
shook from his little throat such floods of delirious music,dactyl,wswsswswswsswsw
lighted her soul in sleep with the glory of regions celestial,dactyl,swswswswswswswsw
soft as descending wings fell the calm of the hour on her spirit,dactyl,wswswswswswswswsw
patience' the priest would say 'have faith and thy prayer will be answered,dactyl,sswswswswswswsw
and with returning guides that sought the lakes of st lawrence,dactyl,wswswswswswsws
with a delicious sound the brook rushed by and the branches,dactyl,wswswswswswwsw
gabriel' cried she aloud with tremulous voice but no answer,dactyl,swswswswswswswsw
safely their boat was moored and scattered about on the greensward,dactyl,sswswswsswswwsw
rushed with extended arms and exclamations of wonder,dactyl,wswswswswsswsw
reddened the sky overhead and gleamed on the faces around her,dactyl,swswswswswwsswsw
passed through her brain she spake and repeated the tale of the mowis,dactyl,swswswswswswswsw
let us repeat it now and say o father forgive them',dactyl,wswswswswsswsw
than our fathers in forts besieged by the enemy's cannon,dactyl,wwsswswswwsswsw
meanwhile had spread in the village the tidings of ill and on all sides,dactyl,swswswsswswswswsw
under the feet a garden of flowers and the bluest of heavens,dactyl,wswswswswswswsw
rose the guests and departed and silence reigned in the household,dactyl,wswswswswswswsw
gabriel truly is near thee for not far away to the southward,dactyl,sswswswswwswswwsw
down to his rest and twilight prevailed anon from the belfry,dactyl,wswswsswswswwsw
down through whose broken vaults it fell as through chinks in a ruin,dactyl,wswswswswswswsw
welcome once more my friends who long have been friendless and homeless,dactyl,swswswswswswsws
then all forgetful of self she wandered into the village,dactyl,wswswswswswswsw
as apart by the window she stood with her hand in her lover's,dactyl,swswwswswswswwsw
and with light in her looks she entered the chambers of sickness,dactyl,wswswswswswswsw
all the aching of heart the restless unsatisfied longing,dactyl,wwsswswswswwssw
there in an arbor of roses with endless question and answer,dactyl,wswswswswswswsws
haunt of the humming bird and the bee extended around it,dactyl,wswswswswswswsw
such as the artist paints o'er the brows of saints and apostles,dactyl,wswswswswswswsw
swinging aloft on a willow spray that hung o'er the water,dactyl,wswswwswswswwsw
fires that blast and blight and winds that are weary with travel,dactyl,wswswswswsswsw
orderly all things proceeded and duly and well were completed,dactyl,swswswswsswswswsw
half way down to the shore evangeline waited in silence,dactyl,wswswswswswswsw
many a weary year had passed since the burning of grand pr,dactyl,sswsswswswswswss
three times the old man's fee in solid pieces of silver,dactyl,wswswswswswsws
not overcome with grief but strong in the hour of affliction,dactyl,wswswswswwswswsw
while through the night were heard the mysterious sounds of the desert,dactyl,wwswswswswswswsw
shut out the turbulent tides but at stated seasons the flood gates,dactyl,wswswswswswswsws
as out of abraham's tent young ishmael wandered with hagar,dactyl,wswswswswswswsw
voices of women were heard and of men and the crying of children,dactyl,sswswswswswwsswsw
beautiful was the night behind the black wall of the forest,dactyl,swswwswswswswsw
where all men were equal and all were brothers and sisters,dactyl,wwswswswwsswsw
silent with wonder and strange surprise evangeline listened,dactyl,swswswswswswsws
then would evangeline answer serenely but sadly 'i cannot,dactyl,wswswswswswswswsws
softly the words of the lord 'the poor ye always have with you',dactyl,swswswswswswsws
all escape cut off by the sea and the sentinels near them,dactyl,swswswswswswsws
farther and farther away it floated and dropped into silence,dactyl,swswswswswswswsw
sat by some nameless grave and thought that perhaps in its bosom,dactyl,wswswswswswswsw
past the ohio shore and past the mouth of the wabash,dactyl,wswswswswswwsw
then in those sweet low tones that seemed like a weird incantation,dactyl,wswswswswswswsw
stand like druids of eld with voices sad and prophetic,dactyl,wswswswsswswsw
and as the tides of the sea arise in the month of september,dactyl,wswswwswswswswsw
still the blaze of the burning village illumined the landscape,dactyl,wswswswswswswsw
made the bright air brighter as up from the numerous meadows,dactyl,swswswswswswsw
feasted and slaked their thirst from the water gourd of the teacher,dactyl,swswswswswswwsw
round and red as the harvest moon through the mist of the marshes',dactyl,wwswwswswwswwsw
raising his tearful eyes to the silent stars that above them,dactyl,sswswswwsswswsw
only alas the poor who had neither friends nor attendants,dactyl,wswswswswswswsw
having no other care than dispensing music to mortals,dactyl,sswsswswswswsws
or such as hangs by night o'er a city seen at a distance,dactyl,wswswswwsswswsw
white as the snow were his locks and his cheeks as brown as the oak leaves,dactyl,wswswswswswswsws
welcome once more to a home that is better perchance than the old one,dactyl,wswswswswsswswsws
fairest of all the maids was evangeline benedict's daughter,dactyl,swswswswswswswsw
little she dreamed that below among the trees of the orchard,dactyl,swswswswswswwsw
speaking words of endearment where words of comfort availed not,dactyl,wswswswswswswsw
half the task was not done when the sun went down and the twilight,dactyl,wswswswswswswsw
stretched themselves on the ground and slept where the quivering fire light,dactyl,swswswswswsswsws
mingled their sounds with the whir of the wheels and the songs of the maidens,dactyl,swswswswswswswwsw
sat conversing together of past and present and future,dactyl,wswswsswswsswsw
touched by the magic spell the sacred fountains of feeling,dactyl,wswswswswswsws
benedict bellefontaine thou hast ever thy jest and thy ballad,dactyl,swswwswswswswswsw
benedict knew by the hob nailed shoes it was basil the blacksmith,dactyl,swswswswswwsswsw
loud on a sudden the cocks began to crow in the farm yards,dactyl,wswsswswswswsws
each one thought in his heart that he too would go and do likewise,dactyl,wwswwswwswswwsw
smouldered the fire on the hearth on the board was the supper untasted,dactyl,wswswswswswswsswsw
many a youth as he knelt in church and opened his missal,dactyl,swswswswswsswsw
ride in the gaspereau's mouth with their cannon pointed against us,dactyl,wswswswswswswsws
into whose sea of flowers the sun was slowly descending,dactyl,wswswsswswsswsw
as the emigrant's way o'er the western desert is marked by,dactyl,wwsswswwswsswsw
forth from the folds of a cloud and one star follow her footsteps,dactyl,wswswwswswsswsw
fair was she and young but alas before her extended,dactyl,wswswswswswsws
that the whole air and the woods and the waves seemed silent to listen,dactyl,wswswswswswsswsw
but in the course of time the laws of the land were corrupted,dactyl,wswswswswswswsw
struggled together like foes in a burning city behind him,dactyl,sswswswswswsswsw
while in despair on the shore evangeline stood with her father,dactyl,wswswwswswswswsw
such was the advent of autumn then followed that beautiful season,dactyl,wswswswswswswswsw
knocked with its hundred hands at the golden gates of the morning,dactyl,wswswswwswswwsw
and as the voice of the priest repeated the service of sorrow,dactyl,wswswwswswswswsw
thronged were the streets with people and noisy groups at the housedoors,dactyl,wswswswswswswsw
so was her love diffused but like to some odorous spices,dactyl,wswswswswwsswsw
dwelt on his goodly acres and with him directing his household,dactyl,wswswswswswswsws
as if a morning of june with all its music and sunshine,dactyl,wswswswswswswsw
there the long absent pastor regain his flock and his sheepfold,dactyl,wswswsswswswwsw
and with words of kindness conducted them into his wigwam,dactyl,wswswswswswswsw
and over all is the sky the clear and crystalline heaven,dactyl,wsswswswswswsw
vainly offered him food yet he moved not he looked not he spake not,dactyl,swswswswswswswsw
blown by the blast of fate like a dead leaf over the desert,dactyl,wswswswwswsswsw
home to their roosts in the cedar trees returning at sunset,dactyl,wswswwswswswsws
therefore be of good cheer we will follow the fugitive lover,dactyl,swswswswswswswsw
gabriel had his lodge by the banks of the saginaw river,dactyl,sswwswwswwswsww
when from the forest at night through the starry silence the wolves howled,dactyl,wswswswswswswsws
she was a shawnee woman returning home to her people,dactyl,wswswsswswswwsw
onward o'er sunken sands through a wilderness sombre with forests,dactyl,wswswswwswswswsw
proud of her snow white hide and the ribbon that waved from her collar,dactyl,wswswswwswswswsw
having the glare of the burning village for funeral torches,dactyl,swswswswswswswsw
bearing a nation with all its household gods into exile,dactyl,sswsswswswswsws
shone on her face and encircled her form when after confession,dactyl,swswswswswswswsw
farther back in the midst of the household goods and the wagons,dactyl,swswswswswswwsw
looked with the eye of love through the golden vapors around him,dactyl,wswswswwswsswsw
gazed on the scene of terror that reddened and widened before them,dactyl,wswswsswsswsswsw
but by the opposite bank and behind a screen of palmettos,dactyl,wswswswswswswsws
and how the fever was cured by a spider shut up in a nutshell,dactyl,wswswswswswswswsw
then as the wind seized the gleeds and the burning thatch and uplifting,dactyl,wswswswswswswssw
